,ID,Species,Temperature Range
451,W4B544,Paenibacillus sp.,<40
452,W4B544,Paenibacillus sp.,<40
461,A0A357M4B3,Paenibacillus sp.,<40
254,A0A117T1J4,Paenibacillus sp.,<40
45,A0A0S2S8N1,Paenibacillus sp.,<40
572,A0A0K6GAZ0,Rhizoctonia solani,<40
571,A0A0K6GAZ0,Rhizoctonia solani,<40
469,E2FZU3,Trichoderma longibrachiatum,<40
468,E2FZU3,Trichoderma longibrachiatum,<40
463,E2FZU3,Trichoderma longibrachiatum,<40
464,E2FZU3,Trichoderma longibrachiatum,<40
465,E2FZU3,Trichoderma longibrachiatum,<40
557,A0A0B7FM60,Thanatephorus cucumeris,<40
558,A0A0B7FM60,Thanatephorus cucumeris,<40
559,A0A0B7FM60,Thanatephorus cucumeris,<40
561,A0A0B7FM60,Thanatephorus cucumeris,<40
562,A0A0B7FM60,Thanatephorus cucumeris,<40
563,A0A0B7FM60,Thanatephorus cucumeris,<40
560,A0A0B7FM60,Thanatephorus cucumeris,<40
556,A0A0B7FM60,Thanatephorus cucumeris,<40
555,A0A0B7FM60,Thanatephorus cucumeris,<40
81,Q9L035,Streptomyces coelicolor,<40
567,A0A0K6FR70,Rhizoctonia solani,<40
370,A0A2M9MKX2,Paenibacillus sp.,<40
564,A0A066V6S6,Rhizoctonia solani,<40
371,A0A2M9MKX2,Paenibacillus sp.,<40
566,A0A0K6FR70,Rhizoctonia solani,<40
569,A0A0K6G4J4,Rhizoctonia solani,<40
245,A0A089M629,Paenibacillus sp.,<40
330,A0A1I0C2D6,Paenibacillus sp.,<40
336,A0A1Q5WPN6,Paenibacillus sp.,<40
372,A0A2M9MKX2,Paenibacillus sp.,<40
316,A0A1H7NEC5,Paenibacillus sp.,<40
317,A0A1H7NEC5,Paenibacillus sp.,<40
324,A0A1H7NEC5,Paenibacillus sp.,<40
319,A0A1H7NEC5,Paenibacillus sp.,<40
358,A0A1S2F5X9,Paenibacillus sp.,<40
435,A0A7X9YJ40,Paenibacillus sp.,<40
356,A0A1R1GJK9,Paenibacillus sp.,<40
333,A0A1Q5WPN6,Paenibacillus sp.,<40
437,A0A7X9YJ40,Paenibacillus sp.,<40
334,A0A1Q5WPN6,Paenibacillus sp.,<40
362,A0A1S2F5X9,Paenibacillus sp.,<40
436,A0A7X9YJ40,Paenibacillus sp.,<40
350,A0A1R1GJK9,Paenibacillus sp.,<40
348,A0A1R1GJK9,Paenibacillus sp.,<40
347,A0A1Q5XIQ7,Paenibacillus sp.,<40
346,A0A1Q5XE62,Paenibacillus sp.,<40
367,A0A2M9MKX2,Paenibacillus sp.,<40
364,A0A1S2F5X9,Paenibacillus sp.,<40
341,A0A1Q5XE62,Paenibacillus sp.,<40
339,A0A1Q5XE62,Paenibacillus sp.,<40
374,A0A2S0U5A9,Paenibacillus sp.,<40
328,A0A1I0C2D6,Paenibacillus sp.,<40
290,A0A1B2DNU9,Paenibacillus sp.,<40
289,A0A1B2DNU9,Paenibacillus sp.,<40
293,A0A1B2DNU9,Paenibacillus sp.,<40
368,A0A2M9MKX2,Paenibacillus sp.,<40
251,A0A089M629,Paenibacillus sp.,<40
360,A0A1S2F5X9,Paenibacillus sp.,<40
294,A0A1B2DNU9,Paenibacillus sp.,<40
296,A0A1B2DNU9,Paenibacillus sp.,<40
355,A0A1R1GJK9,Paenibacillus sp.,<40
449,W4B544,Paenibacillus sp.,<40
354,A0A1R1GJK9,Paenibacillus sp.,<40
321,A0A1H7NEC5,Paenibacillus sp.,<40
335,A0A1Q5WPN6,Paenibacillus sp.,<40
450,W4B544,Paenibacillus sp.,<40
426,A0A6G4A6S7,Paenibacillus sp.,<40
423,A0A6G4A6S7,Paenibacillus sp.,<40
353,A0A1R1GJK9,Paenibacillus sp.,<40
386,A0A329KXT6,Paenibacillus sp.,<40
389,A0A3G8R7A8,Paenibacillus sp.,<40
409,A0A4R2A013,Paenibacillus sp.,<40
295,A0A1B2DNU9,Paenibacillus sp.,<40
352,A0A1R1GJK9,Paenibacillus sp.,<40
407,A0A4R2A013,Paenibacillus sp.,<40
351,A0A1R1GJK9,Paenibacillus sp.,<40
291,A0A1B2DNU9,Paenibacillus sp.,<40
369,A0A2M9MKX2,Paenibacillus sp.,<40
543,A0A219CAR9,Acinetobacter baumannii,<40
288,A0A1A5YLD7,Paenibacillus oryzae,<40
500,A2QM14,Aspergillus niger,<40
499,A2QF64,Aspergillus niger,<40
508,G3XMB4,Aspergillus niger,<40
505,A2QM14,Aspergillus niger,<40
503,A2QM14,Aspergillus niger,<40
580,Q4X0H4,Aspergillus fumigatus,<40
578,Q4X0H4,Aspergillus fumigatus,<40
501,A2QM14,Aspergillus niger,<40
576,Q4X0H4,Aspergillus fumigatus,<40
575,Q4X0H4,Aspergillus fumigatus,<40
594,A1CIW4,Aspergillus clavatus,<40
593,A1CIW4,Aspergillus clavatus,<40
591,A1CHV8,Aspergillus clavatus,<40
590,A1CHV8,Aspergillus clavatus,<40
586,A1C723,Aspergillus clavatus,<40
587,A1C723,Aspergillus clavatus,<40
579,Q4X0H4,Aspergillus fumigatus,<40
589,A1CHV8,Aspergillus clavatus,<40
509,G3XMB4,Aspergillus niger,<40
504,A2QM14,Aspergillus niger,<40
549,A0A5M3YZT2,Aspergillus terreus,<40
548,A0A5M3YSH4,Aspergillus terreus,<40
547,A0A5M3YSH4,Aspergillus terreus,<40
513,G3XMB4,Aspergillus niger,<40
514,G3XMB4,Aspergillus niger,<40
494,A2QF64,Aspergillus niger,<40
496,A2QF64,Aspergillus niger,<40
510,G3XMB4,Aspergillus niger,<40
